sample	unclassified-kra_unclassified-seq_ERR9709202__merged	unclassified-kra_unclassified-seq_ERR9709203__merged	unclassified-kra_unclassified-seq_ERR9709204__merged	unclassified-kra_unclassified-seq_ERR9709206__merged	unclassified-kra_unclassified-seq_ERR9709208__merged	unclassified-kra_unclassified-seq_ERR9709209__merged	unclassified-kra_unclassified-seq_ERR9709210__merged	unclassified-kra_unclassified-seq_ERR9709211__merged	unclassified-kra_unclassified-seq_ERR9709212__merged	unclassified-kra_unclassified-seq_ERR9709213__merged	unclassified-kra_unclassified-seq_ERR9709214__merged	unclassified-kra_unclassified-seq_ERR9709215__merged	unclassified-kra_unclassified-seq_ERR9709216__merged	unclassified-kra_unclassified-seq_ERR9709217__merged	unclassified-kra_unclassified-seq_ERR9709218__merged	unclassified-kra_unclassified-seq_ERR9709219__merged	unclassified-kra_unclassified-seq_ERR9709220__merged	unclassified-kra_unclassified-seq_ERR9709221__merged	unclassified-kra_unclassified-seq_ERR9709224__merged	unclassified-kra_unclassified-seq_ERR9709225__merged	unclassified-kra_unclassified-seq_ERR9709226__merged	unclassified-kra_unclassified-seq_ERR9709227__merged	unclassified-kra_unclassified-seq_ERR9709228__merged	unclassified-kra_unclassified-seq_ERR9709230__merged	unclassified-kra_unclassified-seq_ERR9709231__merged	unclassified-kra_unclassified-seq_ERR9709234__merged	unclassified-kra_unclassified-seq_ERR9709235__merged	unclassified-kra_unclassified-seq_ERR9709236__merged	unclassified-kra_unclassified-seq_ERR9709238__merged	unclassified-kra_unclassified-seq_ERR9709240__merged	unclassified-kra_unclassified-seq_ERR9709241__merged	unclassified-kra_unclassified-seq_ERR9709242__merged	unclassified-kra_unclassified-seq_ERR9709243__merged	unclassified-kra_unclassified-seq_ERR9709244__merged	unclassified-kra_unclassified-seq_ERR9709245__merged	unclassified-kra_unclassified-seq_ERR9709246__merged	unclassified-kra_unclassified-seq_ERR9709247__merged	unclassified-kra_unclassified-seq_ERR9709248__merged	unclassified-kra_unclassified-seq_ERR9709249__merged	unclassified-kra_unclassified-seq_ERR9709251__merged	unclassified-kra_unclassified-seq_ERR9709252__merged	unclassified-kra_unclassified-seq_ERR9709253__merged
unclassified-kra_unclassified-seq_ERR9709202__merged	0.0	0.004212475178987199	0.0037922890989267786	0.004150587315800961	0.003867065704981381	0.004770635113943833	0.004549589565120635	0.0038112961588081615	0.003982624751816864	0.004468315447248239	0.0034411139390023945	0.0035806484480862743	0.005269200256844881	0.004731684156369515	0.0046855087701860995	0.004956559709639145	0.0042520631568601225	0.005139287367420355	0.00404624940903816	0.005044519447331668	0.004963883051277655	0.004873068832567131	0.004784993930776268	0.004623574670119197	0.004705451370596412	0.004268270917125802	0.004851809130440689	0.0037851107941191415	0.0045335783832297066	0.0049457694914242616	0.004381935839107334	0.0051130990099632215	0.0050441029447548255	0.004855929679240685	0.004910974885471795	0.004903925672287422	0.0037782926082287867	0.00476220442366773	0.004066666604956095	0.004744961319658772	0.004005774525226066	0.00341948078622433
unclassified-kra_unclassified-seq_ERR9709203__merged	0.0035108118709996808	0.0	0.0020798264157724953	0.0031419194104036325	0.0022405353847996523	0.0037611209656107157	0.0037702483806361198	0.0022062884297008372	0.0023915153554750655	0.003605392118019318	0.0018036725430164975	0.0019388264242834843	0.004388473192616166	0.003709676438932	0.003803431324973942	0.003981614401237189	0.002620916672181115	0.004293774370076951	0.0022716643327384983	0.004089404405249896	0.004131697858510983	0.0039209869793091125	0.0039374418445348135	0.0035847858949656303	0.003674834604441775	0.003273427706426267	0.003856450426578122	0.0020768263444560387	0.003581770392983191	0.004005427538803981	0.0034337764388347788	0.004105135144238065	0.003946668817964268	0.003927510609111979	0.004077985844756607	0.003981309573564752	0.002104211367555804	0.003826009931879336	0.0026104213212851195	0.003730276460042285	0.0029130762542475246	0.001626224170239474
unclassified-kra_unclassified-seq_ERR9709204__merged	0.005118039870955459	0.0040794297343585955	0.0	0.00447321195102409	0.0050448284695107795	0.005130136914427561	0.004959471382186381	0.0049436997484935494	0.005172018995474344	0.004858351287147004	0.004588677406219175	0.004672003255340301	0.0057914559303530845	0.005209561475509758	0.005078436874188427	0.0052437751816841955	0.005577384827002907	0.005552357320438626	0.005185999712392188	0.005517960531754334	0.00552685431995215	0.0052398712640057	0.005224978864698299	0.005089665446668068	0.0049021199269608726	0.004677174412574684	0.005258488166725936	0.004946604482894826	0.004886392644051546	0.005389423412244022	0.0048084958284693195	0.005676093962911177	0.00545345878677096	0.0052715391651771415	0.005388579465218686	0.005430664594921799	0.0048819795724784325	0.0053423443085723514	0.005273408494075553	0.005327035900583201	0.004278113227700405	0.004610783277314565
unclassified-kra_unclassified-seq_ERR9709206__merged	0.004013465246399062	0.003708952027736638	0.002998646846787509	0.0	0.0029882123660360735	0.003977139465470509	0.0038809958209144145	0.002924064844860589	0.0032133834637127143	0.0036721173367538305	0.002405205160524119	0.002663070012076238	0.004577372308268725	0.003932213619538182	0.0038474533903473003	0.004201110379592226	0.003548307791665971	0.004492145506349711	0.0031488760763678683	0.004332243746965454	0.004350091025832236	0.004255311906695306	0.004139673540543308	0.0038415138449728672	0.0038443527391466914	0.0034983139969783383	0.004121286281921793	0.0028672570703273384	0.0038146494669196946	0.004203065479697717	0.0036260537800978996	0.004325923662231518	0.004248669260406405	0.004128677013581755	0.004295061428744256	0.004172475555985538	0.0028754549631754157	0.0040483278670237054	0.003277907151089459	0.003941920252615026	0.0031310100034061712	0.0025826766577983946
unclassified-kra_unclassified-seq_ERR9709208__merged	0.004376950750649015	0.003466353670785443	0.004192757486651777	0.003652675645339495	0.0	0.004478293769459309	0.004210936193095279	0.004235732788461438	0.004452515392461673	0.004157749183632749	0.0038678078354955855	0.003921346981321677	0.004933182216771849	0.004386043762411412	0.004260892215215205	0.004406622799142747	0.004765077336573801	0.0049208498343263594	0.0043923199472620834	0.004773330542277334	0.0047120897196742464	0.004540206590174546	0.004462987865654113	0.0044215352607883795	0.004260174698907749	0.004010958833605423	0.004530912833462539	0.004213113933404856	0.00419226531155325	0.004659308815341841	0.004100376470625079	0.004874934435331271	0.004658884445213467	0.004499148373370637	0.004581696018244771	0.00452631440700916	0.004161838614426959	0.004643495597726113	0.0045752863248667884	0.004693786162468805	0.0036702076113048253	0.003872346073438414
unclassified-kra_unclassified-seq_ERR9709209__merged	0.004449729209111043	0.00417357009711378	0.0034980117343135432	0.00382395674263168	0.0036371667876527623	0.0	0.004238139303188278	0.003470658053863363	0.0035492395670098193	0.004011557895669491	0.0030658451683229938	0.0031206700531479395	0.004872454134977	0.0043241945176530905	0.004337228651691908	0.004494872609044706	0.003927004064645747	0.004766191169566135	0.003538013243467179	0.0046351038805918475	0.004544929216052988	0.00447869918923415	0.0044137294000279334	0.004236610045894584	0.0040748630115218345	0.0038693142882805	0.004510286548368865	0.003247242246235364	0.004047404421873036	0.004500240424629351	0.00421076108685253	0.00480319926899405	0.004556714524001394	0.0044462261796345565	0.0045105862526361815	0.00448604821554407	0.003500124418896294	0.004375497810665686	0.0036888067109256475	0.004287143704442907	0.003594848271170093	0.0031375392717087245
unclassified-kra_unclassified-seq_ERR9709210__merged	0.005110034356508999	0.004991791114745206	0.004213604578784913	0.00458587088898868	0.004284148974064149	0.0051086903846900445	0.0	0.004288541602902439	0.004461937010522921	0.004894409290580632	0.003880421749785517	0.004028587685434942	0.005666602614874444	0.005212447508403876	0.00504713348488737	0.0053227454974991055	0.004822967979287709	0.005577107743947171	0.004427738116480895	0.005458963580141103	0.005476816622173043	0.005269976832564612	0.005292298045009061	0.005174331200952935	0.00501030872416323	0.004713755044534354	0.005259034533321273	0.004228070043131415	0.004995844507128689	0.005367056861691636	0.004917220125217278	0.005595522158716687	0.005402526939971432	0.0052439341418870555	0.00542738936329064	0.0052890388815224655	0.004200226750260821	0.005303687451297001	0.004632465494515582	0.005010784278896746	0.00442032201516395	0.0038594874751985446
unclassified-kra_unclassified-seq_ERR9709211__merged	0.00468791497834125	0.003748275483205308	0.004452028060133731	0.0039333893034974345	0.004613183121024703	0.004664761773489919	0.004578919318420553	0.0	0.0048453904453078425	0.004393667947373525	0.004101197297288844	0.004231593304737571	0.005262756006273886	0.004706832718545306	0.0046388078596161135	0.004834764678029187	0.0050534447387287655	0.0052176919623824515	0.004776222391105548	0.005106283978672952	0.005030983328716397	0.004835211435790107	0.004746065356317917	0.004657509969753859	0.004580705453509687	0.004280174260399789	0.004854222995841741	0.004594710501021303	0.004513158584499893	0.004984156530413505	0.00437113792303333	0.005144297857624044	0.004997379369216031	0.004958836529632292	0.004929505657344698	0.005005122612357623	0.004475151483036547	0.004858190144810353	0.004871457682315863	0.004996651535607971	0.0039018729472564163	0.004161557460187886
unclassified-kra_unclassified-seq_ERR9709212__merged	0.004358508246244056	0.0034667011740914084	0.0041809372477157975	0.0037316544498339163	0.004316343025301395	0.004248403908043356	0.004256044333467305	0.004324432015627004	0.0	0.004104994686439616	0.0036899157158208212	0.0038249586690872967	0.00484031410735866	0.004407595122850926	0.004302000496034062	0.004316221483285591	0.004723113681250095	0.004822714686303794	0.004214491443308995	0.004643793977494646	0.004729007560541808	0.004454310909357156	0.004408848833879297	0.004261869669077931	0.004160593004552986	0.003920297355380593	0.004420850146637664	0.0040531110279301555	0.004122535429652868	0.004545573782476702	0.004140006567135995	0.004828158368001437	0.004625110448369749	0.004498918030078248	0.004529011062382907	0.004589087841890301	0.004103704408250141	0.0044367436425106575	0.004457138934707518	0.00456150031997448	0.0035518296420836547	0.00387786935179008
unclassified-kra_unclassified-seq_ERR9709213__merged	0.004495236240286222	0.004336567433763477	0.0036080089420425206	0.0038720401465624954	0.0037057539800857686	0.004352067839244212	0.004364626818562265	0.0035902640574182083	0.0037859635593176654	0.0	0.0029666692281337505	0.002895255940035758	0.004944459081968679	0.00440568878122125	0.004447766629520989	0.004631757389370755	0.0040906012370732865	0.004914883932740288	0.0037555410969189393	0.004728484344771051	0.004650476486336202	0.004544720180261432	0.004465267956444682	0.004407921599747447	0.004224688444932548	0.003925879817746132	0.004531819934163797	0.003476208110767544	0.004195796523681269	0.004623194136079061	0.004265666410485117	0.0048200535857564845	0.004713124719169225	0.00452503681955174	0.0045830220567991626	0.004613226608442311	0.0035736275635269337	0.0045120683940379205	0.0038154335915988424	0.004345755465221542	0.0036547809556788796	0.0031588276946115023
