sample	unclassified-seq_ERR9709202.sort.minq20	unclassified-seq_ERR9709203.sort.minq20	unclassified-seq_ERR9709204.sort.minq20	unclassified-seq_ERR9709206.sort.minq20	unclassified-seq_ERR9709208.sort.minq20	unclassified-seq_ERR9709209.sort.minq20	unclassified-seq_ERR9709210.sort.minq20	unclassified-seq_ERR9709211.sort.minq20	unclassified-seq_ERR9709212.sort.minq20	unclassified-seq_ERR9709213.sort.minq20	unclassified-seq_ERR9709214.sort.minq20	unclassified-seq_ERR9709215.sort.minq20	unclassified-seq_ERR9709216.sort.minq20	unclassified-seq_ERR9709217.sort.minq20	unclassified-seq_ERR9709218.sort.minq20	unclassified-seq_ERR9709219.sort.minq20	unclassified-seq_ERR9709220.sort.minq20	unclassified-seq_ERR9709221.sort.minq20	unclassified-seq_ERR9709224.sort.minq20	unclassified-seq_ERR9709225.sort.minq20	unclassified-seq_ERR9709226.sort.minq20	unclassified-seq_ERR9709227.sort.minq20	unclassified-seq_ERR9709228.sort.minq20	unclassified-seq_ERR9709230.sort.minq20	unclassified-seq_ERR9709231.sort.minq20	unclassified-seq_ERR9709234.sort.minq20	unclassified-seq_ERR9709235.sort.minq20	unclassified-seq_ERR9709236.sort.minq20	unclassified-seq_ERR9709238.sort.minq20	unclassified-seq_ERR9709240.sort.minq20	unclassified-seq_ERR9709241.sort.minq20	unclassified-seq_ERR9709242.sort.minq20	unclassified-seq_ERR9709243.sort.minq20	unclassified-seq_ERR9709244.sort.minq20	unclassified-seq_ERR9709245.sort.minq20	unclassified-seq_ERR9709246.sort.minq20	unclassified-seq_ERR9709247.sort.minq20	unclassified-seq_ERR9709248.sort.minq20	unclassified-seq_ERR9709249.sort.minq20	unclassified-seq_ERR9709251.sort.minq20	unclassified-seq_ERR9709252.sort.minq20	unclassified-seq_ERR9709253.sort.minq20
unclassified-seq_ERR9709202.sort.minq20	0.0	0.013730414004252567	0.009751005980773053	0.010664289769871993	0.010699370679751574	0.005736824072920421	0.005368621347873415	0.01122844840096393	0.0055218765926209334	0.005612220868059681	0.011785766177754065	0.010944113652018306	0.005732189288515932	0.0057025673486278405	0.005713989779066231	0.013282966551643849	0.012255724018708891	0.00556072421855025	0.005522298273052284	0.005875943834039554	0.00569172510528837	0.005704544574104298	0.005688561894734878	0.01645637873083594	0.005773782522405124	0.005658102610080595	0.0057354382120186065	0.011876611099849388	0.005583311977168659	0.005746017263378755	0.005524899531851535	0.005732409106078862	0.005735306168992427	0.005765290798617317	0.005523706122897987	0.005819367275270104	0.01104196683954739	0.010526878796734862	0.011608263730715884	0.0022080122702076155	0.005478644933653243	0.012110559405935084
unclassified-seq_ERR9709203.sort.minq20	0.013730414004252567	0.0	0.015872402628658744	0.016745650844678273	0.016940459191496338	0.014005173880550892	0.013737861305131882	0.017340580823583585	0.013825403702342975	0.013886939495155404	0.017454690716088073	0.01683888381235199	0.014197087866438696	0.014010721253995051	0.014151319232144743	0.01880443370918705	0.018091364738670013	0.014300040100564293	0.013909272307802367	0.01411738244328431	0.014151422127426483	0.014040275777192246	0.014167117832417975	0.019869673318491654	0.013860168323686639	0.014011838725235037	0.014001876159805415	0.017626894605359156	0.014006401467004714	0.01400576911713014	0.01401999229733708	0.014084844829888477	0.014069719839376882	0.01409342199455943	0.013990631434231737	0.014043388984098182	0.017094514032747865	0.013258235832482423	0.017515099345530083	0.00862726946590786	0.013681954735975888	0.01782145212962427
unclassified-seq_ERR9709204.sort.minq20	0.009751005980773053	0.015872402628658744	0.0	0.013739703361135058	0.013797255443949275	0.009788541551216001	0.009625802049568533	0.014178723922230074	0.009767352702303778	0.009724349437598478	0.014513009264182308	0.013827581799650934	0.010015191284838298	0.009911465097103944	0.009972198064144844	0.016065528103466953	0.01519115016184358	0.009889454173060641	0.009783232403136943	0.009911796885018087	0.009938860030936914	0.009880131671954895	0.009963458546320414	0.01847946002432621	0.00974707887228099	0.0098219316369772	0.009885246873287512	0.014693390302042975	0.009773660374329918	0.009904578749120763	0.009801583468397435	0.009910118069360485	0.009849413037539057	0.00992010330624793	0.009858307790207466	0.009803710751145056	0.014013707869250824	0.012455105164719149	0.014490314893715661	0.005598297957329801	0.009596613999741987	0.014886291290976628
unclassified-seq_ERR9709206.sort.minq20	0.010664289769871993	0.016745650844678273	0.013739703361135058	0.0	0.014540283370009566	0.01070190516868319	0.010545367684977824	0.015006216892668567	0.01071962754122524	0.01065115723636989	0.015218342079792002	0.014645540129713863	0.010863874403421292	0.010778381410303184	0.010828441928428356	0.016776696081562736	0.015960373706997433	0.010789656853459118	0.010709787092042622	0.010760816918069627	0.010837343651302844	0.010786945757806476	0.010846168263846434	0.019137856860851232	0.010684560342732352	0.010706472110712073	0.010766819204393707	0.015457437729542889	0.0106488558964557	0.010783317047245888	0.010702403049466347	0.01072666737926009	0.010709866613584862	0.010821163535976841	0.010761265053253699	0.010663053034543513	0.014832076465790323	0.013370012003135479	0.015280902123633644	0.006442836791161977	0.010542827377283182	0.01562960653536416
unclassified-seq_ERR9709208.sort.minq20	0.010699370679751574	0.016940459191496338	0.013797255443949275	0.014540283370009566	0.0	0.010742296453894573	0.010546984555042882	0.015087758439773502	0.010675090935380549	0.010689341357952853	0.015376323364702515	0.014687647501611445	0.010849905227941048	0.010769523401257586	0.010870300212026951	0.01682094213527885	0.0160386977426743	0.010851528712087166	0.010741107808959871	0.010832916947749571	0.010835834533087452	0.010800642717559428	0.010876613524771317	0.01931109039457568	0.010681758131744323	0.010765329958939973	0.010813552359883238	0.015562521864514012	0.010722759414778738	0.01083755034410916	0.010757115983286991	0.010795125707744435	0.010719862993276541	0.010833599970613728	0.01075869078609304	0.010670961035716187	0.014906686195414243	0.013584284822781845	0.015373400442190488	0.0064268321284013386	0.010575672799334801	0.015696672464044936
unclassified-seq_ERR9709209.sort.minq20	0.005736824072920421	0.014005173880550892	0.009788541551216001	0.01070190516868319	0.010742296453894573	0.0	0.005621016611628393	0.011212606726665242	0.0056933342098517414	0.005751271606966868	0.011604763730711731	0.010783659735886797	0.005927179699471763	0.005844040028797237	0.005900053957989759	0.013124398712930252	0.012136189475152603	0.00569927981134688	0.005642538905867078	0.005943087607519715	0.005810645896257571	0.005791189735171343	0.005825310390884408	0.016167950605830872	0.005752215552272011	0.005772626157210969	0.005866575335018442	0.01162061513685575	0.005696970730719841	0.0058441560258767344	0.0058000780581419775	0.0058958836923184155	0.00583749859425009	0.005879299368349078	0.005731922966374814	0.0058586438368580795	0.011017075512367969	0.01059390666432336	0.011414757470979087	0.0018893150177731188	0.005620297021870946	0.011926943334587325
unclassified-seq_ERR9709210.sort.minq20	0.005368621347873415	0.013737861305131882	0.009625802049568533	0.010545367684977824	0.010546984555042882	0.005621016611628393	0.0	0.011128917915074532	0.005473499433494178	0.00555046624267852	0.011589339123551867	0.010797153112477753	0.0057247447326096434	0.0057218908597717055	0.0057114639545085	0.013159448964734755	0.012114249480911887	0.0055213120439489005	0.005475184294939872	0.005773666859253401	0.005656166205297186	0.005597065078215224	0.005678965348631215	0.01628324510677559	0.005671038371006798	0.005643099519394901	0.00568450447292046	0.011761649000109564	0.005600582651975605	0.0056942419288761315	0.005553627438123154	0.005695770486307761	0.005693784701536253	0.005686735343583438	0.005533246446520312	0.005719655245332578	0.010900646975523287	0.010267158142832078	0.011501769352702973	0.0021050628199019705	0.005421456091087462	0.011956461277540131
unclassified-seq_ERR9709211.sort.minq20	0.01122844840096393	0.017340580823583585	0.014178723922230074	0.015006216892668567	0.015087758439773502	0.011212606726665242	0.011128917915074532	0.0	0.011341990105030453	0.01119041961894629	0.015756426614194297	0.015161900439842668	0.011433744620757524	0.01136102090918123	0.011426572793014955	0.017279378454122862	0.0164471530975826	0.011386844414819186	0.011313274441630772	0.011351837937392362	0.011384956627652154	0.011371728486680555	0.011437078766788678	0.019624035550084296	0.011269305869712753	0.011317620820348928	0.011351561469196914	0.016019574040953333	0.01125269683517971	0.011370679133572037	0.011260257248472683	0.011284626559557531	0.011264108630563041	0.011404641720315967	0.011334242531170435	0.011288453011258581	0.015323375895927582	0.01401909165899795	0.015751899808089664	0.006922818494082605	0.011124642982045074	0.016139932766706555
unclassified-seq_ERR9709212.sort.minq20	0.0055218765926209334	0.013825403702342975	0.009767352702303778	0.01071962754122524	0.010675090935380549	0.0056933342098517414	0.005473499433494178	0.011341990105030453	0.0	0.005640178389379802	0.011649447964383275	0.010829399612010016	0.0057586304079979556	0.005740580471086387	0.00570639636792869	0.013143705787815985	0.012212192236509378	0.005520186248642811	0.005463750733352035	0.005823420689275105	0.005686548510891676	0.005644950447065367	0.005716444860702663	0.016396410982696397	0.0056834897379479665	0.005692654640313766	0.005742500171617371	0.011782811937750215	0.005605030304754122	0.005701240116816497	0.005655979159160496	0.005764673425244338	0.005685560485312657	0.005752254404614687	0.005534668045820923	0.005805035657199142	0.011013455994283716	0.010402210509454002	0.011539355188638023	0.00218123095546896	0.0054967684582933884	0.012047028765384327
unclassified-seq_ERR9709213.sort.minq20	0.005612220868059681	0.013886939495155404	0.009724349437598478	0.01065115723636989	0.010689341357952853	0.005751271606966868	0.00555046624267852	0.01119041961894629	0.005640178389379802	0.0	0.011483089486821085	0.010557138831726487	0.0058724446767375316	0.00580390842784595	0.005876299570858223	0.013215573473493447	0.012202226526612958	0.005687592957684062	0.00558840049334175	0.0058808267446699425	0.005738268090257903	0.005747474146026055	0.005762953984062791	0.016325570310331106	0.005745696835229408	0.005717937646394611	0.005775043566683125	0.011740967947026837	0.005654563801180679	0.005800788073858865	0.005723640606972502	0.005812023562354107	0.00580196945613165	0.0058118284026115186	0.005618551121441051	0.005852822740251562	0.011015999369740404	0.010427072803641413	0.011461498950330884	0.002117481732728299	0.005499763338293939	0.011972861084793895
