sample	unclassified-kra_SRR26416940_	unclassified-kra_SRR26417119_	unclassified-kra_SRR26417123_	unclassified-kra_SRR26417124_	unclassified-kra_SRR26417125_	unclassified-kra_SRR26417126_	unclassified-kra_SRR26417128_	unclassified-kra_SRR26417132_	unclassified-kra_SRR26417133_	unclassified-kra_SRR26417134_
unclassified-kra_SRR26416940_	0.0	0.011665228981521336	0.011781298041080565	0.012439931405860858	0.011534652671276763	0.011954218216740437	0.01153645605079337	0.011214207159100471	0.013054593990398619	None
unclassified-kra_SRR26417119_	0.011411328450364073	0.0	0.008143524159490788	0.00876385448314306	0.00799688646728654	0.008605639257532443	0.008483124270750075	0.008082209027003755	0.009145173110875308	None
unclassified-kra_SRR26417123_	0.011448744954617373	0.008088344369179781	0.0	0.008825545132345328	0.007682758369594378	0.008666461208219447	0.008021441748309292	0.007736235301017251	0.00880139767406079	None
unclassified-kra_SRR26417124_	0.012191427535208299	0.00877987417046905	0.00890196736256773	0.0	0.008710100137576065	0.009451286639391267	0.008968885268766087	0.00849690755485123	0.009716789561400551	None
unclassified-kra_SRR26417125_	0.011210523059814365	0.007937589013115493	0.007674783801337023	0.0086296659394945	0.0	0.008593402156072268	0.008073307161726577	0.00761887561621477	0.008641594297640092	None
unclassified-kra_SRR26417126_	0.011579628797574631	0.008523653569012775	0.00864605678955216	0.009344700445352773	0.008584848388662535	0.0	0.008518432120259793	0.00824304387832587	0.009224717046524833	None
unclassified-kra_SRR26417128_	0.011245282576897915	0.008448524590369832	0.008042007691612217	0.0089162549831799	0.008101524303275705	0.008560767402324683	0.0	0.007853459964748875	0.008746952773028433	None
unclassified-kra_SRR26417132_	0.011429578164068128	0.00837409943789378	0.008041004058252402	0.008787969430800197	0.007903841421442142	0.0085921694408006	0.008141646137522092	0.0	0.008706721490871904	None
unclassified-kra_SRR26417133_	0.012793564952069384	0.009165191415291813	0.0088830268714684	0.009720556695916817	0.008726792822481273	0.009338075132846086	0.008802220579729257	0.008399094895661784	0.0	None
unclassified-kra_SRR26417134_	None	None	None	None	None	None	None	None	None	0.0
