sample	unclassified-kra_SRR26416940_	unclassified-kra_SRR26417119_	unclassified-kra_SRR26417123_	unclassified-kra_SRR26417124_	unclassified-kra_SRR26417125_	unclassified-kra_SRR26417126_	unclassified-kra_SRR26417128_	unclassified-kra_SRR26417132_	unclassified-kra_SRR26417133_	unclassified-kra_SRR26417134_
unclassified-kra_SRR26416940_	0.0	0.010376974294296407	0.010135061832984502	0.011240199891829181	0.009723031691902775	0.01043054640907858	0.00977145039503167	0.009393853436765435	0.01180638308529736	None
unclassified-kra_SRR26417119_	0.010460429190194699	0.0	0.007572544161552888	0.008179556290882614	0.007727790478417382	0.008064942239026339	0.007875057569357947	0.007986284706109598	0.00822304631838243	None
unclassified-kra_SRR26417123_	0.010597774754343972	0.007551888974668218	0.0	0.008309166774739609	0.007391656377514538	0.008181016638895897	0.007399335512212491	0.007618249536600092	0.007923538094914022	None
unclassified-kra_SRR26417124_	0.010998222521140069	0.007775548138499049	0.007856240459053136	0.0	0.007883930461228232	0.008473257843960025	0.007856202370590126	0.007786342600198201	0.008439069953883377	None
unclassified-kra_SRR26417125_	0.010636858515646292	0.007968799194956761	0.007855046048240654	0.008665123311943733	0.0	0.008820839114531902	0.008230994581399625	0.008566632145642563	0.008198669487424566	None
unclassified-kra_SRR26417126_	0.010603563037908808	0.007786286361256009	0.007875124025827601	0.00864241598740047	0.008058000561527372	0.0	0.007656148181994377	0.007826718855016167	0.00818155504638459	None
unclassified-kra_SRR26417128_	0.010304739281856407	0.007878759190094066	0.007429094158366746	0.008335446870429086	0.007791883823519756	0.007990197757788359	0.0	0.007668541390259172	0.007796752410298012	None
unclassified-kra_SRR26417132_	0.010487308828600389	0.008248907142570958	0.008157773488647815	0.008623578243948046	0.008649744037863177	0.008685791867432796	0.00819047613325538	0.0	0.008012097475390714	None
unclassified-kra_SRR26417133_	0.011890788574138248	0.008391652448198143	0.007957705967991896	0.008954757491486833	0.007928431939295195	0.008483323520966524	0.007793281304822087	0.007677819595942298	0.0	None
unclassified-kra_SRR26417134_	None	None	None	None	None	None	None	None	None	0.0
